Section,h,b,tw,tf,r,hi,d,A,AL,Iy,Wel_y,Wpl_y,iy,Avz,Iz,Wel_z,Wpl_z,iz,Ss,It,Iw,Flexure_Class_S355,Flexure_Class_S460,Flexure_Class_S355,Flexure_Class_S460
UB 920 x 420 x 588,975.0,427.0,31.0,55.9,25.0,862.8,812.8,748.1,3.553,1185310.0,24310.0,27940.0,39.7,318.2,72770.0,3408.0,5314.0,9.8,17.2,5923.0,153180.0,1.0,1,1.0,2
UB 920 x 420 x 537,965.0,425.0,28.4,51.1,25.0,862.8,812.8,682.5,3.53,1069610.0,22160.0,25360.0,39.5,290.4,65560.0,3085.0,4799.0,9.7,15.9,4542.0,136510.0,1.0,1,2.0,3
UB 920 x 420 x 491,957.0,422.0,25.9,47.0,25.0,862.8,812.8,623.3,3.507,970410.0,20280.0,23090.0,39.3,264.5,59010.0,2796.0,4339.0,9.7,14.9,3520.0,121870.0,1.0,1,3.0,4
UB 920 x 420 x 449,948.0,423.0,24.0,42.7,25.0,862.8,812.8,571.4,3.497,878790.0,18540.0,21040.0,39.1,243.9,53980.0,2552.0,3953.0,9.7,13.8,2692.0,110360.0,1.0,1,3.0,4
UB 920 x 420 x 420,943.0,422.0,22.5,39.9,25.0,862.8,812.8,534.1,3.486,817410.0,17330.0,19620.0,39.0,228.5,50070.0,2373.0,3671.0,9.6,13.1,2208.0,101890.0,1.0,1,4.0,4
UB 920 x 420 x 390,936.0,420.0,21.3,36.6,25.0,862.8,812.8,494.3,3.466,745810.0,15930.0,18010.0,38.7,215.2,45270.0,2156.0,3334.0,9.5,12.3,1741.0,91390.0,1.0,1,4.0,4
UB 920 x 420 x 368,931.0,419.0,20.3,34.3,25.0,862.8,812.8,465.6,3.454,696290.0,14950.0,16880.0,38.5,204.5,42120.0,2010.0,3108.0,9.4,11.8,1452.0,84530.0,1.0,1,4.0,4
UB 920 x 420 x 344,927.0,418.0,19.3,32.0,25.0,862.8,812.8,437.2,3.444,649060.0,14000.0,15790.0,38.4,194.1,39010.0,1866.0,2884.0,9.4,11.2,1198.0,78000.0,1.0,1,4.0,4
UB 914 x 305 x 576,993.0,322.0,36.1,65.0,20.0,862.8,822.8,733.2,3.167,1102320.0,22200.0,26290.0,38.7,364.4,36520.0,2268.0,3658.0,7.0,18.9,7153.0,77860.0,1.0,1,1.0,1
UB 914 x 305 x 521,981.0,319.0,33.0,58.9,20.0,862.8,822.8,663.7,3.138,983010.0,20040.0,23610.0,38.4,331.2,32140.0,2015.0,3239.0,6.9,17.4,5358.0,67730.0,1.0,1,1.0,2
UB 914 x 305 x 474,971.0,316.0,30.0,54.1,20.0,862.8,822.8,603.9,3.112,886280.0,18250.0,21400.0,38.3,300.1,28650.0,1813.0,2901.0,6.8,16.1,4118.0,59790.0,1.0,1,2.0,3
UB 914 x 305 x 425,961.0,313.0,26.9,49.0,20.0,862.8,822.8,542.0,3.086,788770.0,16410.0,19140.0,38.1,268.3,25190.0,1609.0,2562.0,6.8,14.8,3040.0,52070.0,1.0,1,2.0,4
UB 914 x 305 x 381,951.0,310.0,24.4,43.9,20.0,862.8,822.8,485.9,3.059,697370.0,14660.0,17030.0,37.8,242.3,21910.0,1413.0,2243.0,6.7,13.5,2206.0,44830.0,1.0,1,3.0,4
UB 914 x 305 x 345,943.0,308.0,22.1,39.9,20.0,862.8,822.8,439.7,3.039,626190.0,13280.0,15360.0,37.7,218.9,19510.0,1267.0,2003.0,6.6,12.5,1656.0,39610.0,1.0,1,4.0,4
UB 914 x 305 x 313,932.0,309.0,21.1,34.5,20.0,862.8,822.8,398.4,3.023,548840.0,11770.0,13640.0,37.1,206.6,17040.0,1102.0,1748.0,6.5,11.3,1167.0,34160.0,1.0,1,4.0,4
UB 914 x 305 x 289,926.6,307.7,19.5,32.0,20.0,862.8,822.8,368.3,3.011,504730.0,10890.0,12580.0,37.0,190.6,15590.0,1013.0,1601.0,6.5,10.6,931.5,31080.0,1.0,1,4.0,4
UB 914 x 305 x 271,923.0,307.0,18.4,30.0,20.0,862.8,822.8,346.1,3.003,472170.0,10230.0,11790.0,36.9,179.7,14510.0,945.8,1491.0,6.4,10.1,774.3,28840.0,1.0,1,4.0,4
UB 914 x 305 x 253,918.4,305.5,17.3,27.9,20.0,862.8,822.8,322.8,2.99,436840.0,9513.0,10950.0,36.7,168.6,13300.0,870.8,1371.0,6.4,9.6,629.9,26280.0,1.0,1,4.0,4
UB 914 x 305 x 238,915.0,305.0,16.5,25.9,20.0,862.8,822.8,303.5,2.983,407010.0,8896.0,10240.0,36.5,160.4,12280.0,805.6,1267.0,6.3,9.1,518.3,24200.0,1.0,1,4.0,4
UB 914 x 305 x 224,910.4,304.1,15.9,23.9,20.0,862.8,822.8,285.6,2.971,376950.0,8281.0,9547.0,36.3,153.9,11230.0,739.0,1163.0,6.2,8.7,425.5,22000.0,1.0,2,4.0,4
UB 914 x 305 x 201,903.0,303.3,15.1,20.2,20.0,862.8,822.8,255.9,2.955,325790.0,7215.0,8364.0,35.6,144.8,9423.0,621.3,982.4,6.0,7.8,293.9,18300.0,1.0,-,4.0,-
UB 840 x 400 x 576,913.0,411.0,32.0,57.9,20.0,797.1,757.1,734.4756,3.372,1011770.0,22160.0,25560.0,37.1,300.2,67220.0,3271.0,5101.0,9.5,17.1,6167.0,122460.0,1.0,1,1.0,2
UB 840 x 400 x 527,903.0,409.0,29.5,53.1,20.0,797.1,757.1,672.8475999999999,3.349,915080.0,20260.0,23270.0,36.8,275.3,60730.0,2969.0,4621.0,9.5,15.9,4777.0,109340.0,1.0,1,1.0,2
UB 840 x 400 x 473,893.0,406.0,26.4,48.0,20.0,797.1,757.1,603.6016000000001,3.323,813200.0,18210.0,20790.0,36.7,245.7,53670.0,2643.0,4100.0,9.4,14.5,3511.0,95560.0,1.0,1,2.0,3
UB 840 x 400 x 433,885.0,404.0,24.4,43.9,20.0,797.1,757.1,552.6623999999999,3.303,736270.0,16630.0,18920.0,36.4,226.2,48350.0,2393.0,3706.0,9.3,13.5,2704.0,85320.0,1.0,1,3.0,4
UB 840 x 400 x 392,877.0,401.0,22.1,39.9,20.0,797.1,757.1,499.6128,3.279,659650.0,15040.0,17040.0,36.3,204.3,42960.0,2142.0,3310.0,9.2,12.5,2026.0,75110.0,1.0,1,4.0,4
UB 840 x 400 x 359,868.0,403.0,21.1,35.6,20.0,797.1,757.1,458.49440000000004,3.271,591620.0,13630.0,15420.0,35.9,193.3,38900.0,1930.0,2984.0,9.2,11.5,1510.0,67260.0,1.0,1,4.0,4
UB 840 x 400 x 329,862.0,401.0,19.7,32.4,20.0,797.1,757.1,420.33,3.254,535820.0,12430.0,14040.0,35.7,179.8,34870.0,1739.0,2687.0,9.1,10.7,1159.0,59910.0,1.0,1,4.0,4
UB 840 x 400 x 299,856.0,400.0,18.2,29.2,20.0,797.1,757.1,382.1968,3.241,481680.0,11250.0,12680.0,35.5,165.5,31190.0,1559.0,2406.0,9.0,10.0,866.2,53220.0,1.0,1,4.0,4
UB 838 x 292 x 251,859.0,292.0,17.0,31.0,20.0,797.3,757.3,320.0,2.818,387490.0,9021.0,10320.0,34.8,156.5,12900.0,883.7,1383.0,6.3,10.2,745.5,22040.0,1.0,1,4.0,4
UB 838 x 292 x 226,850.9,293.8,16.1,26.8,20.0,797.3,757.3,288.6,2.81,340800.0,8010.0,9182.0,34.3,146.8,11360.0,773.3,1212.0,6.2,9.3,522.3,19230.0,1.0,1,4.0,4
UB 838 x 292 x 210,846.0,293.0,15.4,24.4,20.0,797.3,757.1,269.0,2.799,311710.0,7369.0,8455.0,34.0,139.7,10250.0,700.2,1098.0,6.1,8.7,412.7,17260.0,1.0,1,4.0,4
UB 838 x 292 x 194,840.7,292.4,14.7,21.7,20.0,797.3,757.3,246.8,2.787,280270.0,6667.0,7668.0,33.6,132.5,9067.0,620.2,974.7,6.0,8.1,312.2,15160.0,1.0,2,4.0,4
UB 838 x 292 x 176,834.9,291.7,14.0,18.8,20.0,797.3,757.3,224.0,2.774,247110.0,5919.0,6835.0,33.1,125.2,7800.0,534.8,842.8,5.8,7.5,226.7,12940.0,1.0,2,4.0,4
UB 762 x 267 x 220,779.0,266.0,16.5,30.0,20.0,719.0,679.0,280.7,2.555,279390.0,7173.0,8231.0,31.4,139.0,9443.0,710.0,1114.0,5.7,9.9,620.5,13190.0,1.0,1,4.0,4
UB 762 x 267 x 197,769.8,268.0,15.6,25.4,20.0,719.0,679.0,250.6,2.546,241320.0,6269.0,7205.0,30.9,129.7,8177.0,610.2,960.1,5.6,8.9,416.5,11280.0,1.0,1,4.0,4
UB 762 x 267 x 185,766.0,267.0,14.9,23.6,20.0,719.0,679.1,237.0,2.536,224140.0,5852.0,6724.0,30.7,123.4,7511.0,562.6,885.1,5.6,8.5,343.3,10310.0,1.0,1,4.0,4
UB 762 x 267 x 173,762.2,266.7,14.3,21.6,20.0,719.0,679.0,220.4,2.528,206650.0,5422.0,6236.0,30.5,117.9,6851.0,513.8,808.9,5.5,8.0,276.8,9364.0,1.0,1,4.0,4
UB 762 x 267 x 161,758.0,266.0,13.8,19.3,20.0,719.0,679.1,205.0,2.518,187250.0,4940.0,5699.0,30.1,113.0,6074.0,456.7,720.9,5.4,7.5,215.1,8258.0,1.0,1,4.0,4
UB 762 x 267 x 147,754.0,265.2,12.8,17.5,20.0,719.0,679.0,187.2,2.509,169870.0,4505.0,5194.0,30.0,104.7,5457.0,411.5,648.5,5.3,7.1,166.1,7377.0,1.0,2,4.0,4
UB 762 x 267 x 134,750.0,264.4,12.0,15.5,20.0,719.0,679.0,170.6,2.499,152060.0,4054.0,4682.0,29.7,97.77,4789.0,362.2,571.2,5.2,6.6,125.0,6440.0,1.0,2,4.0,4
UB 760 x 380 x 582,843.0,396.0,34.5,62.0,20.0,719.1,679.1,742.5286,3.167,861550.0,20440.0,23750.0,34.0,297.6,64430.0,3254.0,5082.0,9.3,18.1,7219.0,97850.0,1.0,1,1.0,1
UB 760 x 380 x 531,833.0,393.0,31.5,56.9,20.0,719.1,679.1,677.2156000000001,3.141,776640.0,18640.0,21550.0,33.8,270.6,57760.0,2939.0,4579.0,9.2,16.8,5563.0,86670.0,1.0,1,1.0,1
UB 760 x 380 x 484,823.0,390.0,29.0,52.1,20.0,719.1,679.1,618.2656,3.114,698760.0,16980.0,19530.0,33.6,247.8,51660.0,2649.0,4119.0,9.1,15.6,4279.0,76520.0,1.0,1,1.0,1
UB 760 x 380 x 434,813.0,387.0,25.9,47.0,20.0,719.1,679.1,553.4346,3.088,618840.0,15220.0,17400.0,33.4,220.6,45510.0,2352.0,3646.0,9.0,14.3,3127.0,66600.0,1.0,1,1.0,2
UB 760 x 380 x 389,803.0,385.0,23.6,41.9,20.0,719.1,679.1,495.7948,3.064,545190.0,13570.0,15450.0,33.1,199.8,39930.0,2074.0,3211.0,8.9,13.0,2247.0,57710.0,1.0,1,2.0,3
UB 760 x 380 x 350,795.0,382.0,21.1,38.1,20.0,719.1,679.1,446.18440000000004,3.041,486880.0,12240.0,13860.0,33.0,178.3,35460.0,1856.0,2865.0,8.9,12.0,1675.0,50690.0,1.0,1,3.0,4
UB 760 x 380 x 314,786.0,384.0,19.7,33.4,20.0,719.1,679.1,401.62799999999993,3.034,428860.0,10910.0,12320.0,32.6,165.0,31570.0,1644.0,2537.0,8.8,10.9,1182.0,44630.0,1.0,1,4.0,4
UB 760 x 380 x 284,780.0,382.0,18.0,30.1,20.0,719.1,679.1,362.96160000000003,3.018,383750.0,9839.0,11070.0,32.5,150.4,28000.0,1466.0,2259.0,8.7,10.1,875.0,39310.0,1.0,1,4.0,4
UB 760 x 380 x 257,772.0,381.0,16.6,27.1,20.0,719.1,679.1,329.0904,3.0,342050.0,8861.0,9951.0,32.2,137.9,25010.0,1313.0,2020.0,8.7,9.4,651.1,34650.0,1.0,1,4.0,4
UB 690 x 360 x 802,826.0,387.0,50.0,89.9,20.0,645.9,605.9,1022.3596000000001,3.066,1063170.0,25740.0,30930.0,32.2,407.4,87540.0,4524.0,7146.0,9.2,25.3,20610.0,117630.0,1.0,1,1.0,1
UB 690 x 360 x 548,772.0,372.0,35.1,63.0,20.0,645.9,605.9,698.8996000000001,2.927,672930.0,17430.0,20380.0,31.0,277.4,54300.0,2919.0,4565.0,8.8,18.4,7065.0,67920.0,1.0,1,1.0,1
UB 690 x 360 x 500,762.0,369.0,32.0,57.9,20.0,645.9,605.9,637.5196,2.902,606230.0,15910.0,18490.0,30.8,251.9,48670.0,2638.0,4114.0,8.7,17.1,5459.0,60090.0,1.0,1,1.0,1
UB 690 x 360 x 457,752.0,367.0,29.5,53.1,20.0,645.9,605.9,583.6986,2.879,546550.0,14530.0,16800.0,30.6,230.8,43890.0,2392.0,3723.0,8.6,15.9,4228.0,53420.0,1.0,1,1.0,1
UB 690 x 360 x 419,744.0,364.0,26.9,49.0,20.0,645.9,605.9,533.9276,2.856,495390.0,13310.0,15310.0,30.4,209.9,39500.0,2170.0,3369.0,8.6,14.8,3299.0,47560.0,1.0,1,1.0,1
UB 690 x 360 x 384,736.0,362.0,24.9,45.0,20.0,645.9,605.9,490.0876,2.836,448880.0,12190.0,13960.0,30.2,193.4,35670.0,1970.0,3054.0,8.5,13.8,2569.0,42470.0,1.0,1,1.0,2
UB 690 x 360 x 350,728.0,360.0,23.1,40.9,20.0,645.9,605.9,447.18580000000003,2.815,403400.0,11080.0,12630.0,30.0,178.5,31870.0,1771.0,2742.0,8.4,12.8,1953.0,37530.0,1.0,1,1.0,2
UB 690 x 360 x 323,722.0,359.0,21.1,38.1,20.0,645.9,605.9,413.2554,2.803,371040.0,10270.0,11660.0,29.9,162.9,29430.0,1640.0,2532.0,8.4,12.0,1567.0,34350.0,1.0,1,2.0,3
UB 690 x 360 x 289,714.0,356.0,19.0,34.0,20.0,645.9,605.9,368.2536,2.78,326240.0,9138.0,10320.0,29.7,146.2,25610.0,1438.0,2217.0,8.3,11.0,1120.0,29550.0,1.0,1,3.0,4
UB 690 x 360 x 265,706.0,358.0,18.4,30.2,20.0,645.9,605.9,338.45599999999996,2.773,291790.0,8266.0,9333.0,29.3,139.8,23130.0,1292.0,1994.0,8.2,10.2,833.7,26360.0,1.0,1,3.0,4
UB 690 x 360 x 240,701.0,356.0,16.8,27.4,20.0,645.9,605.9,307.0832,2.758,262680.0,7494.0,8433.0,29.2,127.5,20630.0,1159.0,1786.0,8.1,9.5,627.2,23370.0,1.0,1,4.0,4
UB 690 x 360 x 217,695.0,355.0,15.4,24.8,20.0,645.9,605.9,278.9052,2.745,235790.0,6785.0,7613.0,29.0,116.5,18510.0,1043.0,1605.0,8.1,8.8,471.5,20760.0,1.0,1,4.0,4
UB 686 x 254 x 192,702.0,254.0,15.5,27.9,20.0,645.5,605.5,245.0,2.355,199440.0,5682.0,6504.0,28.5,119.0,7645.0,602.0,943.0,5.5,9.4,479.7,8656.0,1.0,1,4.0,4
UB 686 x 254 x 170,692.9,255.8,14.5,23.7,20.0,645.5,605.5,216.8,2.346,171780.0,4958.0,5676.0,28.0,109.9,6633.0,518.6,813.3,5.5,8.5,321.6,7402.0,1.0,1,4.0,4
UB 686 x 254 x 152,687.5,254.5,13.2,21.0,20.0,645.5,605.5,194.1,2.332,151810.0,4416.0,5046.0,27.8,99.81,5786.0,454.7,712.0,5.4,7.8,231.2,6407.0,1.0,1,4.0,4
UB 686 x 254 x 140,683.5,253.7,12.4,19.0,20.0,645.5,605.5,178.4,2.323,137720.0,4029.0,4604.0,27.6,93.43,5185.0,408.7,639.9,5.3,7.3,178.7,5708.0,1.0,1,4.0,4
UB 686 x 254 x 125,677.9,253.0,11.7,16.2,20.0,645.5,605.5,159.5,2.31,119440.0,3524.0,4040.0,27.2,87.33,4385.0,346.6,544.1,5.2,6.7,124.3,4786.0,1.0,2,4.0,4
UB 610 x 325 x 551,711.0,347.0,38.6,69.1,20.0,573.0,533.0,704.0884,2.698,559070.0,15720.0,18650.0,28.1,278.8,48410.0,2790.0,4381.0,8.2,20.0,8577.0,49560.0,1.0,1,1.0,1
UB 610 x 325 x 498,699.0,343.0,35.1,63.0,20.0,573.0,533.0,636.7366000000001,2.665,496220.0,14190.0,16720.0,27.9,251.8,42590.0,2483.0,3889.0,8.1,18.4,6477.0,42840.0,1.0,1,1.0,1
UB 610 x 325 x 455,689.0,340.0,32.0,57.9,20.0,573.0,533.0,580.5776000000001,2.64,446080.0,12940.0,15140.0,27.7,228.5,38090.0,2241.0,3500.0,8.0,17.1,5004.0,37760.0,1.0,1,1.0,1
UB 610 x 325 x 415,679.0,338.0,29.5,53.1,20.0,573.0,533.0,531.3656,2.617,401320.0,11820.0,13750.0,27.4,209.3,34300.0,2030.0,3164.0,8.0,15.9,3876.0,33460.0,1.0,1,1.0,1
UB 610 x 325 x 372,669.0,335.0,26.4,48.0,20.0,573.0,533.0,476.30559999999997,2.591,354790.0,10600.0,12240.0,27.2,186.5,30170.0,1801.0,2799.0,7.9,14.5,2850.0,28990.0,1.0,1,1.0,1
UB 610 x 325 x 341,661.0,333.0,24.4,43.9,20.0,573.0,533.0,435.66839999999996,2.571,319840.0,9677.0,11120.0,27.0,171.5,27090.0,1627.0,2525.0,7.8,13.5,2195.0,25720.0,1.0,1,1.0,1
UB 610 x 325 x 307,653.0,330.0,22.1,39.9,20.0,573.0,533.0,393.4508,2.547,285230.0,8736.0,9984.0,26.9,154.8,23950.0,1452.0,2247.0,7.8,12.5,1645.0,22450.0,1.0,1,1.0,2
UB 610 x 325 x 285,647.0,329.0,20.6,37.1,20.0,573.0,533.0,365.54839999999996,2.534,262280.0,8107.0,9230.0,26.7,143.9,22060.0,1341.0,2073.0,7.7,11.8,1328.0,20470.0,1.0,1,1.0,2
UB 610 x 325 x 262,641.0,327.0,19.0,34.0,20.0,573.0,533.0,334.66360000000003,2.518,237550.0,7411.0,8405.0,26.6,132.3,19850.0,1214.0,1874.0,7.7,11.0,1027.0,18250.0,1.0,1,2.0,3
UB 610 x 325 x 241,635.0,329.0,17.9,31.0,20.0,573.0,533.0,309.9806,2.516,216990.0,6834.0,7726.0,26.4,123.9,18430.0,1120.0,1728.0,7.7,10.3,802.2,16780.0,1.0,1,2.0,3
UB 610 x 325 x 217,628.0,328.0,16.5,27.7,20.0,573.0,533.0,279.6246,2.501,192360.0,6126.0,6903.0,26.2,113.5,16310.0,995.0,1533.0,7.6,9.5,586.1,14670.0,1.0,1,3.0,4
UB 610 x 325 x 195,622.0,327.0,15.4,24.4,20.0,573.0,533.0,251.28239999999997,2.487,169450.0,5448.0,6129.0,25.9,105.2,14240.0,871.0,1342.0,7.5,8.7,418.3,12690.0,1.0,1,4.0,4
UB 610 x 325 x 174,616.0,325.0,14.0,21.6,20.0,573.0,533.0,224.02560000000003,2.47,148720.0,4828.0,5417.0,25.7,95.28,12370.0,761.6,1172.0,7.4,8.0,297.5,10910.0,1.0,1,4.0,4
UB 610 x 325 x 155,611.0,324.0,12.7,19.0,20.0,573.0,533.0,199.3246,2.458,130550.0,4273.0,4783.0,25.5,86.21,10780.0,665.7,1024.0,7.3,7.4,209.5,9436.0,1.0,2,4.0,4
UB 610 x 305 x 238,635.8,311.4,18.4,31.4,20.0,573.0,533.0,303.3,2.446,210330.0,6616.0,7516.0,26.2,127.2,15830.0,1017.0,1575.0,7.2,10.4,802.9,14430.0,1.0,1,2.0,3
UB 610 x 305 x 179,620.2,307.1,14.1,23.6,20.0,573.0,533.0,228.1,2.406,153880.0,4962.0,5578.0,25.9,96.99,11410.0,743.1,1145.0,7.0,8.4,350.5,10130.0,1.0,1,4.0,4
UB 610 x 305 x 149,612.4,304.8,11.8,19.7,20.0,573.0,533.0,190.0,2.386,126730.0,4139.0,4624.0,25.7,81.25,9309.0,610.8,938.6,6.9,7.4,207.6,8165.0,1.0,1,4.0,4
UB 610 x 229 x 153,623.0,229.0,14.0,24.9,20.0,573.0,533.0,197.7,2.1,126750.0,4069.0,4657.0,25.3,97.12,5001.0,436.8,684.9,5.0,8.7,315.8,4456.0,1.0,1,4.0,4
UB 610 x 229 x 140,617.2,230.2,13.1,22.1,20.0,573.0,533.0,178.2,2.095,113390.0,3674.0,4199.0,25.0,90.23,4508.0,391.7,613.9,5.0,8.0,233.4,3978.0,1.0,1,4.0,4
UB 610 x 229 x 125,612.2,229.0,11.9,19.6,20.0,573.0,533.0,159.3,2.082,100220.0,3274.0,3733.0,24.9,81.79,3935.0,343.6,537.7,4.9,7.4,168.2,3444.0,1.0,1,4.0,4
UB 610 x 229 x 113,607.6,228.2,11.1,17.3,20.0,573.0,533.0,143.9,2.071,88930.0,2927.0,3338.0,24.6,75.87,3436.0,301.2,471.5,4.8,6.9,123.0,2984.0,1.0,1,4.0,4
UB 610 x 229 x 101,602.6,227.6,10.5,14.8,20.0,573.0,533.0,128.9,2.06,77390.0,2568.0,2938.0,24.3,71.07,2917.0,256.3,402.4,4.7,6.3,86.67,2512.0,1.0,1,4.0,4
UB 610 x 178 x 92,603.0,179.0,10.9,15.0,13.0,573.0,547.0,117.6,1.878,64680.0,2145.0,2514.0,23.4,69.44,1441.0,161.0,258.5,3.5,5.6,71.3,1239.0,1.0,1,4.0,4
UB 610 x 178 x 82,599.0,178.0,10.0,12.8,13.0,573.0,547.0,104.4,1.868,56030.0,1870.0,2198.0,23.1,63.39,1208.0,135.8,218.2,3.4,5.0,49.07,1033.0,1.0,2,4.0,4
UB 533 x 312 x 409,613.0,327.0,31.0,55.6,25.0,501.9,475.9,524.547,2.429,319240.0,10410.0,12210.0,24.6,205.9,32550.0,1990.0,3104.0,7.8,17.1,4343.0,25160.0,1.0,1,1.0,1
UB 533 x 312 x 369,603.0,324.0,27.9,50.5,25.0,501.9,475.9,472.663,2.403,283070.0,9388.0,10920.0,24.4,184.7,28730.0,1774.0,2758.0,7.7,15.8,3246.0,21840.0,1.0,1,1.0,1
UB 533 x 312 x 332,593.0,322.0,25.4,45.5,25.0,501.9,475.9,425.89300000000003,2.38,250100.0,8435.0,9753.0,24.2,167.1,25400.0,1577.0,2449.0,7.7,14.5,2399.0,18970.0,1.0,1,1.0,1
UB 533 x 312 x 300,585.0,319.0,23.1,41.4,25.0,501.9,475.9,385.50520000000006,2.357,223120.0,7628.0,8767.0,24.0,151.6,22460.0,1408.0,2182.0,7.6,13.5,1810.0,16540.0,1.0,1,1.0,1
UB 533 x 312 x 272,577.0,317.0,21.1,37.6,25.0,501.9,475.9,349.62880000000007,2.337,199120.0,6902.0,7889.0,23.8,137.9,20010.0,1262.0,1953.0,7.5,12.5,1367.0,14520.0,1.0,1,1.0,1
UB 533 x 312 x 248,571.0,315.0,19.0,34.5,25.0,501.9,475.9,318.095,2.321,179870.0,6300.0,7159.0,23.7,124.5,18010.0,1143.0,1765.0,7.5,11.7,1052.0,12930.0,1.0,1,1.0,2
UB 533 x 312 x 219,560.0,318.0,18.3,29.2,25.0,501.9,475.9,282.86980000000005,2.312,153410.0,5479.0,6211.0,23.2,117.1,15680.0,986.6,1526.0,7.4,10.5,701.9,11020.0,1.0,1,1.0,2
UB 533 x 312 x 196,554.0,316.0,16.5,26.3,25.0,501.9,475.9,254.31200000000004,2.296,136360.0,4922.0,5554.0,23.1,105.5,13860.0,877.3,1354.0,7.3,9.8,518.4,9628.0,1.0,1,2.0,3
UB 533 x 312 x 182,551.0,315.0,15.2,24.4,25.0,501.9,475.9,235.4194,2.289,125920.0,4570.0,5137.0,23.1,97.6,12730.0,808.6,1246.0,7.3,9.3,416.4,8811.0,1.0,1,3.0,4
UB 533 x 312 x 165,546.0,313.0,14.0,22.2,25.0,501.9,475.9,214.56099999999998,2.273,113330.0,4151.0,4651.0,22.9,89.79,11360.0,726.3,1118.0,7.2,8.7,319.8,7782.0,1.0,1,3.0,4
UB 533 x 312 x 150,543.0,312.0,12.7,20.3,25.0,501.9,475.9,195.8418,2.266,103220.0,3801.0,4243.0,22.9,81.89,10290.0,659.8,1014.0,7.2,8.2,247.4,7018.0,1.0,1,4.0,4
UB 533 x 210 x 122,544.5,211.9,12.7,21.3,13.0,501.9,475.9,155.4,1.889,76080.0,2794.0,3197.0,22.1,73.43,3387.0,319.7,499.7,4.6,7.0,178.8,2311.0,1.0,1,4.0,4
UB 533 x 210 x 109,539.5,210.8,11.6,18.8,13.0,501.9,475.9,138.9,1.877,66860.0,2478.0,2830.0,21.9,66.73,2942.0,279.2,435.8,4.6,6.4,126.7,1989.0,1.0,1,4.0,4
UB 533 x 210 x 101,536.7,210.0,10.8,17.4,13.0,501.9,475.9,128.7,1.869,61550.0,2293.0,2613.0,21.8,62.05,2692.0,256.3,399.5,4.5,6.0,101.3,1810.0,1.0,1,4.0,4
UB 533 x 210 x 92,533.1,209.3,10.1,15.6,13.0,501.9,475.9,117.4,1.861,55260.0,2073.0,2361.0,21.6,57.77,2389.0,228.3,355.6,4.5,5.6,75.95,1596.0,1.0,1,4.0,4
UB 533 x 210 x 82,528.3,208.8,9.6,13.2,13.0,501.9,475.9,104.7,1.85,47570.0,1801.0,2060.0,21.3,54.33,2007.0,192.2,300.4,4.3,5.1,51.75,1328.0,1.0,2,4.0,4
UB 533 x 165 x 85,535.0,166.0,10.3,16.5,13.0,502.0,476.0,107.9,1.691,48580.0,1816.0,2105.0,21.2,59.14,1263.0,152.2,241.8,3.4,5.8,73.98,845.4,1.0,1,4.0,4
UB 533 x 165 x 74,529.0,166.0,9.7,13.6,13.0,502.0,476.0,95.3,1.68,41090.0,1553.0,1810.0,20.7,54.98,1041.0,125.4,200.3,3.3,5.2,48.2,688.5,1.0,1,4.0,4
UB 533 x 165 x 66,525.0,165.0,8.9,11.4,13.0,502.0,476.0,83.8,1.67,35100.0,1337.0,1563.0,20.4,50.12,857.3,103.9,166.1,3.1,4.6,32.15,562.8,1.0,2,4.0,4
UB 457 x 279 x 464,567.0,305.0,38.6,69.6,20.0,428.0,388.0,593.1244,2.242,291000.0,10260.0,12390.0,22.1,223.2,33130.0,2172.0,3404.0,7.4,20.1,7505.0,20350.0,1.0,1,1.0,1
UB 457 x 279 x 421,555.0,302.0,35.6,63.5,20.0,428.0,388.0,539.3416000000001,2.212,257680.0,9286.0,11120.0,21.8,203.8,29320.0,1942.0,3038.0,7.3,18.6,5731.0,17600.0,1.0,1,1.0,1
UB 457 x 279 x 384,545.0,299.0,32.5,58.4,20.0,428.0,388.0,491.8306,2.187,230490.0,8458.0,10050.0,21.6,184.9,26150.0,1749.0,2730.0,7.2,17.2,4438.0,15400.0,1.0,1,1.0,1
UB 457 x 279 x 349,535.0,296.0,29.5,53.6,20.0,428.0,388.0,446.94660000000005,2.161,205350.0,7676.0,9059.0,21.4,166.8,23270.0,1572.0,2447.0,7.2,16.0,3410.0,13420.0,1.0,1,1.0,1
UB 457 x 279 x 315,525.0,293.0,26.9,48.5,20.0,428.0,388.0,402.7756,2.134,180960.0,6893.0,8075.0,21.1,151.0,20410.0,1393.0,2165.0,7.1,14.7,2536.0,11540.0,1.0,1,1.0,1
UB 457 x 279 x 286,517.0,291.0,24.4,44.4,20.0,428.0,388.0,366.32239999999996,2.115,162180.0,6274.0,7296.0,21.0,136.5,18290.0,1257.0,1949.0,7.0,13.6,1942.0,10180.0,1.0,1,1.0,1
UB 457 x 279 x 260,509.0,289.0,22.6,40.4,20.0,428.0,388.0,333.71880000000004,2.094,144800.0,5689.0,6579.0,20.8,125.4,16300.0,1128.0,1747.0,6.9,12.6,1478.0,8922.0,1.0,1,1.0,1
UB 457 x 279 x 235,501.0,287.0,20.6,36.6,20.0,428.0,388.0,301.6444,2.074,128450.0,5127.0,5892.0,20.6,113.7,14450.0,1007.0,1557.0,6.9,11.7,1106.0,7774.0,1.0,1,1.0,1
